bigregn_code	bigregn_name	dc_code	dc_name	regn_code	regn_name	area_code	area_name	city_code	city_name	compete_store	hig_md_low_level	store_type	flop_type_name	innovate_type_name	openbusi_dt	store_code	store_name	subregn_code	subregn_name	is_enabled	deleted	sync_time
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0207	清远	未分类	中档店	封闭店		非创新店	2015-10-22	1390	清远清城区云山诗意店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630001	广州_陈吓宁	0201	广州	未分类	中档店	封闭店		非创新店	2015-10-24	1391	广州番禺区金海岸花园店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000006	广州_谷巧艳	0202	佛山	未分类	中档店	封闭店		非创新店	2015-10-23	1392	佛山顺德区海悦新城店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	yxpszx	粤西区	0107500024	珠海_曾子梁	0205	珠海	未分类	中档店	封闭店		非创新店	2015-10-30	1393	珠海香洲区中珠上城店	F0750005	珠海_严海国	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	02000016	广州_谷灵艳	0201	广州	未分类	中档店	封闭店		非创新店	2015-11-01	1394	广州海珠区翠城花园2店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0201	广州	未分类	未分类	其他		非创新店	2015-10-31	1395	广州海珠区琶洲新村店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000018	广州_汪祚民	0201	广州	未分类	高档店	封闭店		非创新店	2015-10-31	1396	广州海珠区琶洲新村2店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630002	广州闭店	0204	中山	未分类	未分类	其他		非创新店	2015-11-11	1397	中山东区长江市场店	076400	广州闭店	0	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000006	广州_谷巧艳	0201	广州	未分类	高档店	封闭店		非创新店	2015-11-23	1398	广州海珠区大江苑2店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000006	广州_谷巧艳	0201	广州	未分类	中档店	封闭店		非创新店	2015-11-24	1399	广州番禺区群贤路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000006	广州_谷巧艳	0201	广州	未分类	低档店	封闭店		非创新店	2015-12-16	1400	广州海珠区泰沙路店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0102000003	广州_陈秋波	0201	广州	未分类	中档店	封闭店		非创新店	2015-11-20	1401	广州荔湾区岭南湾畔店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
1003	华南大区	gzpszx	广州配送中心	gzpszx	广州区	0107630001	广州_陈吓宁	0201	广州	未分类	中档店	封闭店		非创新店	2015-11-25	1402	广州番禺区尚东尚筑店	F0200001	广州_占丽娟	1	0	2022-04-20 04:26:58
